old_path,responsibility,recommended_scope,recommended_new_path,mutates_data,read_only,emits_diagnostic_status,model_specific,dataset_specific,has_cli,is_imported,is_subprocess_target,legacy_model_imports,requires_wrapper,risk_level,confidence,notes
scripts/dev/diagnose_gsmcc_numerics.py,"Trace paper-aligned GS-MCC tensor, gradient, parameter, loss, graph, and optimizer finiteness",diagnostics_models,scripts/diagnostics/models/gsmcc/diagnose_gsmcc_numerics.py,no,yes,yes,yes,yes,yes,yes,no,"models.baselines.original_repro;models.baselines.original_repro.gsmcc.model",yes,high,high,"Model numerical diagnostic; reads real train batches and writes diagnostic artifacts; canonical model/runtime imports required"
scripts/dev/validate_config_tree.py,"Static validation gate for the configuration tree and workflow wiring",dev,scripts/dev/validate_config_tree.py,no,yes,yes,no,no,no,yes,no,,no,low,high,"Already canonical; keep in place"
scripts/diagnose/diagnose_m3ed_label_alignment.py,"Diagnose metadata versus feature-PKL label alignment and mismatch counts",diagnostics_data,scripts/diagnostics/data/diagnose_m3ed_label_alignment.py,no,yes,yes,no,yes,no,no,no,,yes,medium,high,"Reads configured M3ED data and reports mismatches; does not modify files"
scripts/features/build_iemocap_clean_text_features.py,"Build immutable offline Clean RoBERTa IEMOCAP text-feature PKL and metadata",data_build,scripts/data/build/build_iemocap_clean_text_features.py,yes,no,no,no,yes,yes,yes,no,,yes,high,high,"Generates feature/data assets atomically from explicit inputs; existing no-overwrite and offline semantics retained"
scripts/inspect/extract_mmgcn_core_blocks.py,"Extract official MMGCN source blocks for model mechanism inspection",diagnostics_models,scripts/diagnostics/models/mmgcn/extract_mmgcn_core_blocks.py,no,yes,no,yes,no,yes,no,no,,yes,medium,high,"Reads official source text and writes a report artifact; does not import or modify official code"
scripts/inspect/inspect_m3ed_feature_files.py,"Read-only inventory and shape/alignment inspection of M3ED feature files",data_inspect,scripts/data/inspect/inspect_m3ed_feature_files.py,no,yes,no,no,yes,no,no,no,,yes,medium,high,"Passive data inspection; no diagnostic threshold or data mutation"
scripts/inspect/inspect_m3ed_official.py,"Read-only inspection of official M3ED annotations, relations, and split files",data_inspect,scripts/data/inspect/inspect_m3ed_official.py,no,yes,no,no,yes,no,no,no,,yes,medium,high,"Passive official-data structure inspection"
scripts/inspect/inspect_mmgcn_feature_pkl.py,"Read-only structural inspection of official MMGCN feature PKLs",data_inspect,scripts/data/inspect/inspect_mmgcn_feature_pkl.py,no,yes,no,no,yes,no,no,no,,yes,medium,high,"Passive feature-file structure inspection"
scripts/inspect/inspect_mmgcn_official_model.py,"Read-only textual inspection of official MMGCN model implementation",diagnostics_models,scripts/diagnostics/models/mmgcn/inspect_mmgcn_official_model.py,no,yes,no,yes,no,no,no,no,,yes,medium,high,"Model-mechanism inspection; does not import or modify official code"
scripts/maintenance/check_env.py,"Check Python, package, CUDA, project-directory, and config environment readiness",dev,scripts/dev/check_env.py,no,yes,yes,no,no,no,no,no,,yes,low,high,"Developer readiness gate rather than repository mutation/maintenance"
scripts/maintenance/collect_evaluation_summary.py,"Collect saved evaluation metrics into a dated summary CSV",maintenance,scripts/maintenance/collect_evaluation_summary.py,no,no,no,no,no,yes,no,no,,no,medium,high,"Already canonical maintenance/report regeneration tool; keep in place"
scripts/maintenance/rebuild_experiment_summary.py,"Rebuild experiment summary CSV and back up an existing summary",maintenance,scripts/maintenance/rebuild_experiment_summary.py,no,no,no,no,no,yes,no,yes,,no,high,high,"Already canonical mutating maintenance tool and active subprocess target; keep in place"
scripts/prepare/prepare_m3ed_metadata.py,"Generate M3ED metadata CSV and label mapping from official annotations and splits",data_prepare,scripts/data/prepare/prepare_m3ed_metadata.py,yes,no,no,no,yes,no,no,no,,yes,high,high,"Pre-training data preparation with fixed output paths; do not execute in local gates"
