old_path,canonical_target,wrapper_type,tracked,active_reference_count,historical_reference_count,safe_to_delete,reason
scripts/analyze/probe_iemocap_text_features.py,scripts.diagnostics.data.probe_iemocap_text_features,module_alias_cli,YES,2,6,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/analyze/run_four_model_causal_audit.py,scripts.analysis.causal.run_four_model_causal_audit,module_alias_cli,YES,4,3,YES,Phase 3B1 report and source confirm a transparent module alias and CLI forwarder
scripts/analyze/summarize_causal_benchmark_runs.py,scripts.analysis.causal.summarize_causal_benchmark_runs,module_alias_cli,YES,3,7,YES,Phase 3B1 report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/debug_causal_dialoguegcn_forward.py,scripts.diagnostics.models.dialoguegcn.debug_causal_dialoguegcn_forward,module_alias_cli,YES,2,5,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/debug_causal_gsmcc_forward.py,scripts.diagnostics.models.gsmcc.debug_causal_gsmcc_forward,module_alias_cli,YES,2,5,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/debug_multidag_cl_forward.py,scripts.diagnostics.models.multidag_cl.debug_multidag_cl_forward,module_alias_cli,YES,2,12,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/debug_multidag_cl_real_batch.py,scripts.diagnostics.models.multidag_cl.debug_multidag_cl_real_batch,module_alias_cli,YES,6,23,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/debug_new_causal_graph_real_batch.py,scripts.diagnostics.models.debug_new_causal_graph_real_batch,module_alias_cli,YES,4,6,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/debug_sdt_forward.py,scripts.diagnostics.models.sdt.debug_sdt_forward,module_alias_cli,YES,2,9,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/evaluate_multidag_cl_checkpoint.py,scripts.models.multidag_cl.unified.evaluate,module_alias_cli,YES,2,13,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/evaluate_new_causal_graph_checkpoint.py,scripts.workflows.causal_graph.evaluate,module_alias_cli,YES,8,3,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/evaluate_original_merc_checkpoint.py,scripts.workflows.paper_aligned.evaluate,module_alias_cli,YES,2,1,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/new_causal_graph_runtime.py,scripts.runtime.causal_graph,module_alias,YES,2,4,YES,Phase 3A report and source confirm a transparent module alias
scripts/baselines/original_merc_runtime.py,scripts.runtime.paper_aligned,module_alias,YES,5,4,YES,Phase 3A report and source confirm a transparent module alias
scripts/baselines/run_original_merc_pipeline.py,scripts.workflows.paper_aligned.run_pipeline,module_alias_cli,YES,5,12,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/train_multidag_cl.py,scripts.models.multidag_cl.unified.train,module_alias_cli,YES,10,24,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/train_multidag_cl_smoke.py,scripts.models.multidag_cl.unified.smoke,module_alias_cli,YES,1,18,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/train_new_causal_graph_baseline.py,scripts.workflows.causal_graph.train,module_alias_cli,YES,10,5,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/baselines/train_original_merc_baseline.py,scripts.workflows.paper_aligned.train,module_alias_cli,YES,7,6,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/debug/debug_dialogue_feature_dataset.py,scripts.diagnostics.data.debug_dialogue_feature_dataset,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/debug/debug_iemocap_dataloader.py,scripts.diagnostics.data.debug_iemocap_dataloader,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/debug/debug_io.py,scripts.diagnostics.experiments.debug_io,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/debug/debug_m3ed_dataloader.py,scripts.diagnostics.data.debug_m3ed_dataloader,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/debug/debug_m3ed_dataset.py,scripts.diagnostics.data.debug_m3ed_dataset,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/debug/debug_m3ed_feature_dataset.py,scripts.diagnostics.data.debug_m3ed_feature_dataset,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/debug/debug_mmgcn_forward.py,scripts.diagnostics.models.mmgcn.debug_mmgcn_forward,module_alias_cli,YES,2,5,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/debug/debug_simple_mlp_step.py,scripts.diagnostics.models.simple_mlp.debug_simple_mlp_step,module_alias_cli,YES,2,5,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/dev/diagnose_gsmcc_numerics.py,scripts.diagnostics.models.gsmcc.diagnose_gsmcc_numerics,module_alias_cli,YES,3,8,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/diagnose/diagnose_m3ed_label_alignment.py,scripts.diagnostics.data.diagnose_m3ed_label_alignment,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/evaluate_checkpoint.py,scripts.evaluation.unified_checkpoint,module_alias_cli,YES,16,23,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/experiments/evaluate_missing_modalities.py,scripts.workflows.ablations.evaluate_missing_modalities,module_alias_cli,YES,1,3,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/experiments/generate_modality_ablation_configs.py,scripts.workflows.ablations.generate_modality_configs,module_alias_cli,YES,1,1,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/experiments/run_causal8_original8_formal.py,scripts.workflows.benchmarks.run_causal8_original8,module_alias_cli,YES,5,5,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/features/build_iemocap_clean_text_features.py,scripts.data.build.build_iemocap_clean_text_features,module_alias_cli,YES,4,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/inspect/extract_mmgcn_core_blocks.py,scripts.diagnostics.models.mmgcn.extract_mmgcn_core_blocks,module_alias_cli,YES,2,4,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/inspect/inspect_m3ed_feature_files.py,scripts.data.inspect.inspect_m3ed_feature_files,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/inspect/inspect_m3ed_official.py,scripts.data.inspect.inspect_m3ed_official,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/inspect/inspect_mmgcn_feature_pkl.py,scripts.data.inspect.inspect_mmgcn_feature_pkl,module_alias_cli,YES,3,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/inspect/inspect_mmgcn_official_model.py,scripts.diagnostics.models.mmgcn.inspect_mmgcn_official_model,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/maintenance/check_env.py,scripts.dev.check_env,module_alias_cli,YES,3,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/prepare/prepare_m3ed_metadata.py,scripts.data.prepare.prepare_m3ed_metadata,module_alias_cli,YES,2,2,YES,Phase 3B2 report and source confirm a transparent module alias and CLI forwarder
scripts/run_experiment_pipeline.py,scripts.workflows.run_pipeline,module_alias_cli,YES,7,53,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/run_original_merc_reproduction_pipeline.py,scripts.workflows.paper_aligned.run_pipeline,module_alias_cli,YES,1,1,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/train.py,scripts.workflows.train_from_config,module_alias_cli,YES,6,2,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/train_mmgcn.py,scripts.models.mmgcn.unified.train,module_alias_cli,YES,18,31,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/train_simple_mlp.py,scripts.models.simple_mlp.train,module_alias_cli,YES,2,4,YES,Phase 3A report and source confirm a transparent module alias and CLI forwarder
scripts/workflows/paper_aligned/run_reproduction.py,scripts.workflows.paper_aligned.run_pipeline,main_forwarder,YES,1,1,YES,Source only imports canonical main and calls it with no independent behavior
