order,enabled,matrix,run_id,model_family,display_name,context_mode,pairing_implementation,feature_set,validation_strategy,validation_session,test_session,seed,base_config,parameter_source,clean_feature_source,entrypoint,output_root,selection_metric,test_selection_leakage,future_context_allowed,implementation_lineage,model_provenance,max_epochs,early_stopping_patience,numerical_safety,feature_registry_status,remote_dry_run_required
11,true,primary_seed42,ltp_multidag_cl_full_context_val_ses03_s42,multidag_cl,MultiDAG-inspired + CL,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses03,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/multidag_cl_full_context.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/multidag_cl_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_multidag_cl_full_context_val_ses03_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,30,0,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
12,true,primary_seed42,ltp_multidag_cl_full_context_val_ses04_s42,multidag_cl,MultiDAG-inspired + CL,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses04,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/multidag_cl_full_context.yaml,configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/multidag_cl_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_multidag_cl_full_context_val_ses04_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,30,0,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
13,true,primary_seed42,ltp_multidag_cl_causal_context_val_ses01_s42,multidag_cl,MultiDAG-inspired + CL,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses01,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/multidag_cl_causal_context.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,,scripts/models/multidag_cl/unified/train.py,outputs/long_training/primary/ltp_multidag_cl_causal_context_val_ses01_s42,val_weighted_f1,0,false,unified,unified_not_author_official,30,disabled,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
14,true,primary_seed42,ltp_multidag_cl_causal_context_val_ses02_s42,multidag_cl,MultiDAG-inspired + CL,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses02,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/multidag_cl_causal_context.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,,scripts/models/multidag_cl/unified/train.py,outputs/long_training/primary/ltp_multidag_cl_causal_context_val_ses02_s42,val_weighted_f1,0,false,unified,unified_not_author_official,30,disabled,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
15,true,primary_seed42,ltp_multidag_cl_causal_context_val_ses03_s42,multidag_cl,MultiDAG-inspired + CL,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses03,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/multidag_cl_causal_context.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,,scripts/models/multidag_cl/unified/train.py,outputs/long_training/primary/ltp_multidag_cl_causal_context_val_ses03_s42,val_weighted_f1,0,false,unified,unified_not_author_official,30,disabled,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
16,true,primary_seed42,ltp_multidag_cl_causal_context_val_ses04_s42,multidag_cl,MultiDAG-inspired + CL,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses04,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/multidag_cl_causal_context.yaml,configs/multidag_cl/unified/iemocap/causal_context/clean_roberta_features/val_ses01.yaml,,scripts/models/multidag_cl/unified/train.py,outputs/long_training/primary/ltp_multidag_cl_causal_context_val_ses04_s42,val_weighted_f1,0,false,unified,unified_not_author_official,30,disabled,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
17,true,primary_seed42,ltp_dialoguegcn_full_context_val_ses01_s42,dialoguegcn,DialogueGCN,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses01,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/dialoguegcn_full_context.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_dialoguegcn_full_context_val_ses01_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,60,10,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
18,true,primary_seed42,ltp_dialoguegcn_full_context_val_ses02_s42,dialoguegcn,DialogueGCN,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses02,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/dialoguegcn_full_context.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_dialoguegcn_full_context_val_ses02_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,60,10,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
19,true,primary_seed42,ltp_dialoguegcn_full_context_val_ses03_s42,dialoguegcn,DialogueGCN,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses03,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/dialoguegcn_full_context.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_dialoguegcn_full_context_val_ses03_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,60,10,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
20,true,primary_seed42,ltp_dialoguegcn_full_context_val_ses04_s42,dialoguegcn,DialogueGCN,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses04,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/dialoguegcn_full_context.yaml,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/dialoguegcn_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_dialoguegcn_full_context_val_ses04_s42,val_weighted_f1,0,true,paper_aligned,paper_aligned_not_author_official,60,10,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
21,true,primary_seed42,ltp_dialoguegcn_causal_context_val_ses01_s42,dialoguegcn,DialogueGCN,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses01,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/dialoguegcn_causal_context.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/dialoguegcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/workflows/causal_graph/train.py,outputs/long_training/primary/ltp_dialoguegcn_causal_context_val_ses01_s42,val_weighted_f1,0,false,unified,unified_project_causal,30,none,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
22,true,primary_seed42,ltp_dialoguegcn_causal_context_val_ses02_s42,dialoguegcn,DialogueGCN,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses02,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/dialoguegcn_causal_context.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/dialoguegcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/workflows/causal_graph/train.py,outputs/long_training/primary/ltp_dialoguegcn_causal_context_val_ses02_s42,val_weighted_f1,0,false,unified,unified_project_causal,30,none,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
23,true,primary_seed42,ltp_dialoguegcn_causal_context_val_ses03_s42,dialoguegcn,DialogueGCN,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses03,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/dialoguegcn_causal_context.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/dialoguegcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/workflows/causal_graph/train.py,outputs/long_training/primary/ltp_dialoguegcn_causal_context_val_ses03_s42,val_weighted_f1,0,false,unified,unified_project_causal,30,none,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
24,true,primary_seed42,ltp_dialoguegcn_causal_context_val_ses04_s42,dialoguegcn,DialogueGCN,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses04,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/dialoguegcn_causal_context.yaml,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/dialoguegcn/unified/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/workflows/causal_graph/train.py,outputs/long_training/primary/ltp_dialoguegcn_causal_context_val_ses04_s42,val_weighted_f1,0,false,unified,unified_project_causal,30,none,standard_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
25,true,primary_seed42,ltp_gsmcc_project_variant_full_context_val_ses01_s42,gsmcc_project_variant,GS-MCC Project Variant,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses01,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/gsmcc_project_variant_full_context.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_gsmcc_project_variant_full_context_val_ses01_s42,val_weighted_f1,0,true,project_variant,PROJECT_VARIANT_NOT_PAPER_REPRODUCTION,250,20,angular_similarity_eps_1e-7_and_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
26,true,primary_seed42,ltp_gsmcc_project_variant_full_context_val_ses02_s42,gsmcc_project_variant,GS-MCC Project Variant,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses02,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/gsmcc_project_variant_full_context.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_gsmcc_project_variant_full_context_val_ses02_s42,val_weighted_f1,0,true,project_variant,PROJECT_VARIANT_NOT_PAPER_REPRODUCTION,250,20,angular_similarity_eps_1e-7_and_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
27,true,primary_seed42,ltp_gsmcc_project_variant_full_context_val_ses03_s42,gsmcc_project_variant,GS-MCC Project Variant,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses03,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/gsmcc_project_variant_full_context.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_gsmcc_project_variant_full_context_val_ses03_s42,val_weighted_f1,0,true,project_variant,PROJECT_VARIANT_NOT_PAPER_REPRODUCTION,250,20,angular_similarity_eps_1e-7_and_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
28,true,primary_seed42,ltp_gsmcc_project_variant_full_context_val_ses04_s42,gsmcc_project_variant,GS-MCC Project Variant,full_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses04,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/gsmcc_project_variant_full_context.yaml,configs/gsmcc/project_variant/iemocap/full_context/clean_roberta_features/gsmcc_clean.yaml,,scripts/workflows/paper_aligned/train.py,outputs/long_training/primary/ltp_gsmcc_project_variant_full_context_val_ses04_s42,val_weighted_f1,0,true,project_variant,PROJECT_VARIANT_NOT_PAPER_REPRODUCTION,250,20,angular_similarity_eps_1e-7_and_runtime_finite_checks,REMOTE_ASSET_REQUIRED,true
29,true,primary_seed42,ltp_gsmcc_project_variant_causal_context_val_ses01_s42,gsmcc_project_variant,GS-MCC Project Variant,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses01,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/gsmcc_project_variant_causal_context.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/workflows/causal_graph/train.py,outputs/long_training/primary/ltp_gsmcc_project_variant_causal_context_val_ses01_s42,val_weighted_f1,0,false,project_variant,PROJECT_VARIANT_NOT_PAPER_REPRODUCTION,30,none,zero_auxiliary_loss_weights_and_causal_runtime_contract,REMOTE_ASSET_REQUIRED,true
30,true,primary_seed42,ltp_gsmcc_project_variant_causal_context_val_ses02_s42,gsmcc_project_variant,GS-MCC Project Variant,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses02,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/gsmcc_project_variant_causal_context.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/workflows/causal_graph/train.py,outputs/long_training/primary/ltp_gsmcc_project_variant_causal_context_val_ses02_s42,val_weighted_f1,0,false,project_variant,PROJECT_VARIANT_NOT_PAPER_REPRODUCTION,30,none,zero_auxiliary_loss_weights_and_causal_runtime_contract,REMOTE_ASSET_REQUIRED,true
31,true,primary_seed42,ltp_gsmcc_project_variant_causal_context_val_ses03_s42,gsmcc_project_variant,GS-MCC Project Variant,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses03,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/gsmcc_project_variant_causal_context.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/workflows/causal_graph/train.py,outputs/long_training/primary/ltp_gsmcc_project_variant_causal_context_val_ses03_s42,val_weighted_f1,0,false,project_variant,PROJECT_VARIANT_NOT_PAPER_REPRODUCTION,30,none,zero_auxiliary_loss_weights_and_causal_runtime_contract,REMOTE_ASSET_REQUIRED,true
32,true,primary_seed42,ltp_gsmcc_project_variant_causal_context_val_ses04_s42,gsmcc_project_variant,GS-MCC Project Variant,causal_context,unified_clean,iemocap_clean_roberta_base_utterance_mean_v1,session_holdout,Ses04,Ses05,42,configs/benchmarks/long_training/iemocap_clean/base/gsmcc_project_variant_causal_context.yaml,configs/gsmcc/project_variant/iemocap/causal_context/legacy_mmgcn_features/val_ses01.yaml,configs/gsmcc/project_variant/iemocap/causal_context/clean_roberta_features/smoke_real_2epoch.yaml,scripts/workflows/causal_graph/train.py,outputs/long_training/primary/ltp_gsmcc_project_variant_causal_context_val_ses04_s42,val_weighted_f1,0,false,project_variant,PROJECT_VARIANT_NOT_PAPER_REPRODUCTION,30,none,zero_auxiliary_loss_weights_and_causal_runtime_contract,REMOTE_ASSET_REQUIRED,true
